id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,satuan,tahun
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,39,ORANG,2017
2,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,129,ORANG,2017
3,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,2,ORANG,2017
4,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,16,ORANG,2017
5,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,0,ORANG,2017
6,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,8,ORANG,2017
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,0,ORANG,2017
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1,ORANG,2017
9,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,4,ORANG,2017
10,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,17,ORANG,2017
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1,ORANG,2017
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,5,ORANG,2017
13,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2,ORANG,2017
14,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,10,ORANG,2017
15,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,0,ORANG,2017
16,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,18,ORANG,2017
17,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,ORANG,2017
18,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,6,ORANG,2017
19,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,0,ORANG,2017
20,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,6,ORANG,2017
21,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,0,ORANG,2017
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,5,ORANG,2017
23,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,ORANG,2017
24,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,11,ORANG,2017
25,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,1,ORANG,2017
26,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,33,ORANG,2017
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,1,ORANG,2017
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,7,ORANG,2017
29,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,2,ORANG,2017
30,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,9,ORANG,2017
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,4,ORANG,2017
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,24,ORANG,2017
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,5,ORANG,2017
34,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,17,ORANG,2017
35,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,3,ORANG,2017
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,22,ORANG,2017
37,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,8,ORANG,2017
38,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,39,ORANG,2017
39,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,1,ORANG,2017
40,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,17,ORANG,2017
41,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,3,ORANG,2017
42,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,6,ORANG,2017
43,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,1,ORANG,2017
44,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,1,ORANG,2017
45,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,4,ORANG,2017
46,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,11,ORANG,2017
47,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,0,ORANG,2017
48,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,6,ORANG,2017
49,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,8,ORANG,2017
50,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,42,ORANG,2017
51,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,2,ORANG,2017
52,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,6,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,5,ORANG,2017
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,16,ORANG,2017
